County of Residence,County of Residence Code,Births_MM,percent_MM,Avg_Age_MM,Average OE Gestational Age (weeks)_MM,Average LMP Gestational Age (weeks)_MM,Average Birth Weight (grams)_MM,Average Pre-pregnancy BMI_MM,Average Number of Prenatal Visits_MM,Average Interval Since Last Live Birth (months)_MM,Average Interval Since Last Other Pregnancy Outcome (months)_MM,Births_noMM,% of Total Births_noMM,Average Age of Mother (years)_noMM,Average OE Gestational Age (weeks)_noMM,Average LMP Gestational Age (weeks)_noMM,Average Birth Weight (grams)_noMM,Average Pre-pregnancy BMI_noMM,Average Number of Prenatal Visits_noMM,Average Interval Since Last Live Birth (months)_noMM,Average Interval Since Last Other Pregnancy Outcome (months)_noMM,county-id
"Craven County, NC",37049.0,1221.0,0.03,27.48,38.23,38.44,3205.67,28.03,11.31,51.77,52.56,1221.0,0.03%,27.48,38.23,38.44,3205.67,28.03,11.31,51.77,52.56,37049
"Cumberland County, NC",37051.0,5044.0,0.14,27.53,38.26,38.54,3211.0,27.94,10.6,50.69,47.91,5044.0,0.14%,27.53,38.26,38.54,3211.0,27.94,10.6,50.69,47.91,37051
"Davidson County, NC",37057.0,1771.0,0.05,28.21,38.06,38.33,3211.87,28.83,14.09,52.89,53.05,1771.0,0.05%,28.21,38.06,38.33,3211.87,28.83,14.09,52.89,53.05,37057
"Durham County, NC",37063.0,4194.0,0.12,30.44,38.39,38.62,3220.88,26.9,12.79,51.06,47.0,4194.0,0.12%,30.44,38.39,38.62,3220.88,26.9,12.79,51.06,47.0,37063
"Forsyth County, NC",37067.0,4390.0,0.12,28.84,38.19,38.43,3202.83,28.09,13.31,53.36,52.36,4390.0,0.12%,28.84,38.19,38.43,3202.83,28.09,13.31,53.36,52.36,37067
"Gaston County, NC",37071.0,2631.0,0.07,28.38,38.39,38.52,3200.51,28.29,10.93,51.88,49.69,2631.0,0.07%,28.38,38.39,38.52,3200.51,28.29,10.93,51.88,49.69,37071
"Guilford County, NC",37081.0,5692.0,0.16,29.35,38.19,38.4,3188.71,28.37,13.09,54.8,53.01,5692.0,0.16%,29.35,38.19,38.4,3188.71,28.37,13.09,54.8,53.01,37081
"Harnett County, NC",37085.0,1832.0,0.05,28.46,38.39,38.73,3279.29,28.02,10.11,50.45,50.54,1832.0,0.05%,28.46,38.39,38.73,3279.29,28.02,10.11,50.45,50.54,37085
"Henderson County, NC",37089.0,982.0,0.03,28.88,38.31,38.65,3266.26,27.19,12.18,54.39,49.73,982.0,0.03%,28.88,38.31,38.65,3266.26,27.19,12.18,54.39,49.73,37089
"Iredell County, NC",37097.0,1900.0,0.05,29.24,38.32,38.59,3263.57,27.84,10.89,50.51,50.44,1900.0,0.05%,29.24,38.32,38.59,3263.57,27.84,10.89,50.51,50.44,37097
"Johnston County, NC",37101.0,2728.0,0.08,29.08,38.29,38.58,3271.29,28.47,12.59,51.08,46.1,2728.0,0.08%,29.08,38.29,38.58,3271.29,28.47,12.59,51.08,46.1,37101
"Mecklenburg County, NC",37119.0,14919.0,0.41,30.1,38.38,38.59,3214.85,26.67,11.36,52.83,53.74,14919.0,0.41%,30.1,38.38,38.59,3214.85,26.67,11.36,52.83,53.74,37119
"New Hanover County, NC",37129.0,2106.0,0.06,30.15,38.25,38.45,3253.8,26.66,12.12,50.54,44.42,2106.0,0.06%,30.15,38.25,38.45,3253.8,26.66,12.12,50.54,44.42,37129
"Onslow County, NC",37133.0,3751.0,0.1,26.73,38.59,38.82,3330.28,27.51,9.55,42.73,39.06,3751.0,0.10%,26.73,38.59,38.82,3330.28,27.51,9.55,42.73,39.06,37133
"Orange County, NC",37135.0,1165.0,0.03,31.53,38.43,38.59,3242.31,26.2,11.27,49.36,41.4,1165.0,0.03%,31.53,38.43,38.59,3242.31,26.2,11.27,49.36,41.4,37135
"Pitt County, NC",37147.0,2079.0,0.06,28.51,38.02,38.36,3152.74,29.13,11.65,53.19,42.46,2079.0,0.06%,28.51,38.02,38.36,3152.74,29.13,11.65,53.19,42.46,37147
"Randolph County, NC",37151.0,1484.0,0.04,27.82,38.27,38.74,3264.65,29.06,13.07,51.25,49.17,1484.0,0.04%,27.82,38.27,38.74,3264.65,29.06,13.07,51.25,49.17,37151
"Robeson County, NC",37155.0,1830.0,0.05,26.76,38.22,38.42,3156.2,29.37,9.97,52.84,50.49,1830.0,0.05%,26.76,38.22,38.42,3156.2,29.37,9.97,52.84,50.49,37155
"Rowan County, NC",37159.0,1596.0,0.04,28.09,38.3,38.55,3241.28,28.77,10.88,54.17,50.61,1596.0,0.04%,28.09,38.3,38.55,3241.28,28.77,10.88,54.17,50.61,37159
"Union County, NC",37179.0,2422.0,0.07,29.89,38.4,38.67,3290.61,27.4,12.06,49.94,54.12,2422.0,0.07%,29.89,38.4,38.67,3290.61,27.4,12.06,49.94,54.12,37179
"Wake County, NC",37183.0,12826.0,0.36,30.86,38.51,38.7,3284.47,26.64,12.16,49.55,47.18,12826.0,0.36%,30.86,38.51,38.7,3284.47,26.64,12.16,49.55,47.18,37183
"Wayne County, NC",37191.0,1598.0,0.04,27.8,38.24,38.48,3213.38,28.94,11.5,56.15,48.96,1598.0,0.04%,27.8,38.24,38.48,3213.38,28.94,11.5,56.15,48.96,37191
"Unidentified Counties, NC",37999.0,30672.0,0.85,27.97,38.2,38.48,3226.24,28.82,11.43,51.83,49.44,30672.0,0.85%,27.97,38.2,38.48,3226.24,28.82,11.43,51.83,49.44,37999
"Cass County, ND",38017.0,2408.0,0.07,29.72,38.43,38.7,3322.96,28.32,10.71,43.78,35.96,2408.0,0.07%,29.72,38.43,38.7,3322.96,28.32,10.71,43.78,35.96,38017
"Unidentified Counties, ND",38999.0,7468.0,0.21,28.76,38.34,38.56,3328.65,28.56,10.53,42.23,40.76,7468.0,0.21%,28.76,38.34,38.56,3328.65,28.56,10.53,42.23,40.76,38999
"Allen County, OH",39003.0,1196.0,0.03,27.23,38.05,38.07,3187.46,28.47,11.74,42.52,38.83,1196.0,0.03%,27.23,38.05,38.07,3187.46,28.47,11.74,42.52,38.83,39003
"Ashtabula County, OH",39007.0,1026.0,0.03,27.46,38.38,38.55,3272.37,28.37,9.43,44.62,49.41,1026.0,0.03%,27.46,38.38,38.55,3272.37,28.37,9.43,44.62,49.41,39007
"Butler County, OH",39017.0,4155.0,0.12,28.77,38.28,38.46,3284.44,28.16,11.52,47.04,44.24,4155.0,0.12%,28.77,38.28,38.46,3284.44,28.16,11.52,47.04,44.24,39017
"Clark County, OH",39023.0,1496.0,0.04,27.03,38.28,38.43,3250.95,29.17,9.29,44.77,45.53,1496.0,0.04%,27.03,38.28,38.43,3250.95,29.17,9.29,44.77,45.53,39023
"Clermont County, OH",39025.0,2159.0,0.06,29.09,38.27,38.45,3279.71,28.17,12.04,44.72,36.21,2159.0,0.06%,29.09,38.27,38.45,3279.71,28.17,12.04,44.72,36.21,39025
"Columbiana County, OH",39029.0,961.0,0.03,27.53,38.24,38.4,3266.09,28.41,12.53,44.74,37.34,961.0,0.03%,27.53,38.24,38.4,3266.09,28.41,12.53,44.74,37.34,39029
"Cuyahoga County, OH",39035.0,12764.0,0.35,29.37,38.18,38.33,3183.11,27.81,12.37,48.73,45.77,12764.0,0.35%,29.37,38.18,38.33,3183.11,27.81,12.37,48.73,45.77,39035
"Delaware County, OH",39041.0,2102.0,0.06,31.85,38.39,38.45,3313.73,26.26,12.59,42.82,36.34,2102.0,0.06%,31.85,38.39,38.45,3313.73,26.26,12.59,42.82,36.34,39041
"Fairfield County, OH",39045.0,1671.0,0.05,29.2,38.33,38.5,3284.25,28.1,12.02,45.4,39.94,1671.0,0.05%,29.2,38.33,38.5,3284.25,28.1,12.02,45.4,39.94,39045
"Franklin County, OH",39049.0,17016.0,0.47,29.7,38.25,38.32,3219.33,27.35,11.52,46.44,40.1,17016.0,0.47%,29.7,38.25,38.32,3219.33,27.35,11.52,46.44,40.1,39049
"Greene County, OH",39057.0,1632.0,0.05,29.06,38.37,38.47,3311.03,28.11,11.18,44.95,37.86,1632.0,0.05%,29.06,38.37,38.47,3311.03,28.11,11.18,44.95,37.86,39057
"Hamilton County, OH",39061.0,10039.0,0.28,29.17,38.24,38.38,3207.94,27.44,11.33,46.12,44.21,10039.0,0.28%,29.17,38.24,38.38,3207.94,27.44,11.33,46.12,44.21,39061
"Lake County, OH",39085.0,2038.0,0.06,29.92,38.36,38.56,3283.68,27.88,12.46,47.34,44.15,2038.0,0.06%,29.92,38.36,38.56,3283.68,27.88,12.46,47.34,44.15,39085
"Licking County, OH",39089.0,1893.0,0.05,28.72,38.37,38.47,3296.04,28.14,11.04,46.84,42.65,1893.0,0.05%,28.72,38.37,38.47,3296.04,28.14,11.04,46.84,42.65,39089
"Lorain County, OH",39093.0,3132.0,0.09,28.7,38.24,38.45,3243.28,28.27,11.99,45.25,38.65,3132.0,0.09%,28.7,38.24,38.45,3243.28,28.27,11.99,45.25,38.65,39093
"Lucas County, OH",39095.0,4909.0,0.14,28.0,38.14,38.26,3187.72,28.38,12.33,46.26,43.59,4909.0,0.14%,28.0,38.14,38.26,3187.72,28.38,12.33,46.26,43.59,39095
"Mahoning County, OH",39099.0,2309.0,0.06,28.25,38.07,38.18,3185.61,28.14,13.27,45.96,37.93,2309.0,0.06%,28.25,38.07,38.18,3185.61,28.14,13.27,45.96,37.93,39099
"Medina County, OH",39103.0,1713.0,0.05,30.51,38.52,38.63,3336.92,27.19,12.49,43.18,40.24,1713.0,0.05%,30.51,38.52,38.63,3336.92,27.19,12.49,43.18,40.24,39103
"Miami County, OH",39109.0,1140.0,0.03,28.25,38.45,38.63,3339.87,28.37,11.7,45.67,42.65,1140.0,0.03%,28.25,38.45,38.63,3339.87,28.37,11.7,45.67,42.65,39109
"Montgomery County, OH",39113.0,6020.0,0.17,28.13,38.23,38.29,3237.9,28.98,10.82,48.09,42.58,6020.0,0.17%,28.13,38.23,38.29,3237.9,28.98,10.82,48.09,42.58,39113
"Portage County, OH",39133.0,1332.0,0.04,29.08,38.31,38.49,3270.27,27.66,12.27,46.41,37.16,1332.0,0.04%,29.08,38.31,38.49,3270.27,27.66,12.27,46.41,37.16,39133
"Richland County, OH",39139.0,1388.0,0.04,27.28,38.35,38.59,3283.18,28.47,11.46,43.57,41.0,1388.0,0.04%,27.28,38.35,38.59,3283.18,28.47,11.46,43.57,41.0,39139
"Stark County, OH",39151.0,3915.0,0.11,27.97,38.41,38.58,3262.66,28.38,10.92,45.71,42.83,3915.0,0.11%,27.97,38.41,38.58,3262.66,28.38,10.92,45.71,42.83,39151
"Summit County, OH",39153.0,5342.0,0.15,29.2,38.31,38.47,3230.08,27.85,11.55,47.67,41.38,5342.0,0.15%,29.2,38.31,38.47,3230.08,27.85,11.55,47.67,41.38,39153
"Trumbull County, OH",39155.0,1939.0,0.05,27.89,38.27,38.4,3232.77,28.92,11.83,47.02,45.69,1939.0,0.05%,27.89,38.27,38.4,3232.77,28.92,11.83,47.02,45.69,39155
"Warren County, OH",39165.0,2363.0,0.07,30.05,38.39,38.53,3320.21,27.09,11.63,44.3,37.24,2363.0,0.07%,30.05,38.39,38.53,3320.21,27.09,11.63,44.3,37.24,39165
"Wayne County, OH",39169.0,1371.0,0.04,28.62,38.69,38.91,3364.36,27.58,10.52,39.3,45.18,1371.0,0.04%,28.62,38.69,38.91,3364.36,27.58,10.52,39.3,45.18,39169
"Wood County, OH",39173.0,1285.0,0.04,29.06,38.43,38.62,3338.45,27.65,12.6,45.25,41.15,1285.0,0.04%,29.06,38.43,38.62,3338.45,27.65,12.6,45.25,41.15,39173
"Unidentified Counties, OH",39999.0,28807.0,0.8,27.68,38.33,38.55,3305.59,28.42,11.35,43.02,40.68,28807.0,0.80%,27.68,38.33,38.55,3305.59,28.42,11.35,43.02,40.68,39999
"Canadian County, OK",40017.0,1950.0,0.05,28.56,38.25,38.55,3297.45,27.84,10.86,48.4,43.64,1950.0,0.05%,28.56,38.25,38.55,3297.45,27.84,10.86,48.4,43.64,40017
"Cleveland County, OK",40027.0,2667.0,0.07,28.53,38.1,38.4,3260.78,28.14,10.15,50.44,39.28,2667.0,0.07%,28.53,38.1,38.4,3260.78,28.14,10.15,50.44,39.28,40027
"Comanche County, OK",40031.0,1550.0,0.04,27.08,38.21,38.39,3244.99,28.13,10.35,47.94,48.6,1550.0,0.04%,27.08,38.21,38.39,3244.99,28.13,10.35,47.94,48.6,40031
"Oklahoma County, OK",40109.0,10791.0,0.3,28.21,38.12,38.3,3211.51,27.77,10.64,48.77,43.7,10791.0,0.30%,28.21,38.12,38.3,3211.51,27.77,10.64,48.77,43.7,40109
"Tulsa County, OK",40143.0,8486.0,0.24,28.32,38.13,38.25,3225.48,27.92,10.92,49.11,49.51,8486.0,0.24%,28.32,38.13,38.25,3225.48,27.92,10.92,49.11,49.51,40143
"Unidentified Counties, OK",40999.0,22060.0,0.61,26.96,38.15,38.37,3245.16,28.61,10.33,47.83,44.61,22060.0,0.61%,26.96,38.15,38.37,3245.16,28.61,10.33,47.83,44.61,40999
"Clackamas County, OR",41005.0,3649.0,0.1,30.71,38.7,38.89,3365.54,26.84,11.36,48.45,48.88,3649.0,0.10%,30.71,38.7,38.89,3365.54,26.84,11.36,48.45,48.88,41005
"Deschutes County, OR",41017.0,1929.0,0.05,30.72,38.96,38.92,3333.58,25.62,11.18,46.27,51.65,1929.0,0.05%,30.72,38.96,38.92,3333.58,25.62,11.18,46.27,51.65,41017
"Douglas County, OR",41019.0,1020.0,0.03,28.08,38.71,38.86,3326.79,28.56,13.79,49.4,52.83,1020.0,0.03%,28.08,38.71,38.86,3326.79,28.56,13.79,49.4,52.83,41019
"Jackson County, OR",41029.0,2213.0,0.06,29.03,38.39,38.7,3275.83,27.36,10.83,52.18,42.77,2213.0,0.06%,29.03,38.39,38.7,3275.83,27.36,10.83,52.18,42.77,41029
"Lane County, OR",41039.0,3130.0,0.09,29.67,38.53,38.79,3325.66,27.66,11.76,51.52,47.47,3130.0,0.09%,29.67,38.53,38.79,3325.66,27.66,11.76,51.52,47.47,41039
"Linn County, OR",41043.0,1382.0,0.04,28.73,38.55,38.91,3358.31,28.79,11.77,47.83,48.77,1382.0,0.04%,28.73,38.55,38.91,3358.31,28.79,11.77,47.83,48.77,41043
"Marion County, OR",41047.0,3734.0,0.1,28.67,38.6,38.93,3363.49,28.88,12.17,51.58,45.91,3734.0,0.10%,28.67,38.6,38.93,3363.49,28.88,12.17,51.58,45.91,41047
"Multnomah County, OR",41051.0,7387.0,0.2,31.44,38.59,38.74,3308.15,26.77,10.97,49.69,49.44,7387.0,0.20%,31.44,38.59,38.74,3308.15,26.77,10.97,49.69,49.44,41051
"Washington County, OR",41067.0,6034.0,0.17,30.93,38.62,38.78,3323.04,26.92,10.71,50.31,44.35,6034.0,0.17%,30.93,38.62,38.78,3323.04,26.92,10.71,50.31,44.35,41067
"Unidentified Counties, OR",41999.0,9388.0,0.26,28.69,38.53,38.76,3315.76,28.12,11.29,49.88,48.56,9388.0,0.26%,28.69,38.53,38.76,3315.76,28.12,11.29,49.88,48.56,41999
"Adams County, PA",42001.0,930.0,0.03,29.0,38.57,38.76,3324.31,27.99,11.9,45.92,29.47,930.0,0.03%,29.0,38.57,38.76,3324.31,27.99,11.9,45.92,29.47,42001
"Allegheny County, PA",42003.0,12076.0,0.33,30.76,38.4,38.57,3234.82,27.14,11.84,46.21,41.24,12076.0,0.33%,30.76,38.4,38.57,3234.82,27.14,11.84,46.21,41.24,42003
"Beaver County, PA",42007.0,1459.0,0.04,29.52,38.44,38.6,3293.43,28.45,11.75,47.69,39.59,1459.0,0.04%,29.52,38.44,38.6,3293.43,28.45,11.75,47.69,39.59,42007
"Berks County, PA",42011.0,4467.0,0.12,28.71,38.4,38.65,3271.93,27.96,13.77,48.11,38.64,4467.0,0.12%,28.71,38.4,38.65,3271.93,27.96,13.77,48.11,38.64,42011
"Blair County, PA",42013.0,1112.0,0.03,28.34,38.52,38.79,3303.83,28.2,11.13,46.37,44.91,1112.0,0.03%,28.34,38.52,38.79,3303.83,28.2,11.13,46.37,44.91,42013
"Bucks County, PA",42017.0,5710.0,0.16,31.59,38.54,38.75,3321.88,26.72,11.61,46.75,41.97,5710.0,0.16%,31.59,38.54,38.75,3321.88,26.72,11.61,46.75,41.97,42017
"Butler County, PA",42019.0,1630.0,0.05,30.43,38.51,38.71,3309.57,27.18,11.88,43.4,39.49,1630.0,0.05%,30.43,38.51,38.71,3309.57,27.18,11.88,43.4,39.49,42019
"Cambria County, PA",42021.0,1099.0,0.03,28.23,38.38,38.67,3236.74,28.39,11.92,42.72,38.27,1099.0,0.03%,28.23,38.38,38.67,3236.74,28.39,11.92,42.72,38.27,42021
"Centre County, PA",42027.0,1080.0,0.03,30.32,38.7,38.92,3375.13,26.03,12.45,42.11,39.14,1080.0,0.03%,30.32,38.7,38.92,3375.13,26.03,12.45,42.11,39.14,42027
"Chester County, PA",42029.0,5591.0,0.16,31.45,38.68,38.84,3366.3,25.98,10.04,43.45,41.15,5591.0,0.16%,31.45,38.68,38.84,3366.3,25.98,10.04,43.45,41.15,42029
"Cumberland County, PA",42041.0,2626.0,0.07,29.88,38.66,38.76,3340.81,27.4,11.43,42.23,36.63,2626.0,0.07%,29.88,38.66,38.76,3340.81,27.4,11.43,42.23,36.63,42041
"Dauphin County, PA",42043.0,3272.0,0.09,28.96,38.44,38.55,3240.96,28.05,12.51,46.87,35.7,3272.0,0.09%,28.96,38.44,38.55,3240.96,28.05,12.51,46.87,35.7,42043
"Delaware County, PA",42045.0,6274.0,0.17,31.0,38.48,38.61,3272.08,27.03,10.3,48.21,37.52,6274.0,0.17%,31.0,38.48,38.61,3272.08,27.03,10.3,48.21,37.52,42045
"Erie County, PA",42049.0,2716.0,0.08,28.34,38.19,38.36,3211.89,27.96,10.98,46.46,47.88,2716.0,0.08%,28.34,38.19,38.36,3211.89,27.96,10.98,46.46,47.88,42049
"Fayette County, PA",42051.0,1141.0,0.03,27.53,38.19,38.44,3205.1,29.03,10.68,48.33,36.06,1141.0,0.03%,27.53,38.19,38.44,3205.1,29.03,10.68,48.33,36.06,42051
"Franklin County, PA",42055.0,1699.0,0.05,28.62,38.34,38.54,3280.73,27.93,11.03,44.86,38.97,1699.0,0.05%,28.62,38.34,38.54,3280.73,27.93,11.03,44.86,38.97,42055
"Lackawanna County, PA",42069.0,2049.0,0.06,29.43,38.41,38.62,3260.7,27.53,10.88,50.25,39.06,2049.0,0.06%,29.43,38.41,38.62,3260.7,27.53,10.88,50.25,39.06,42069
"Lancaster County, PA",42071.0,6805.0,0.19,29.32,38.65,38.86,3355.47,26.56,10.54,40.57,44.72,6805.0,0.19%,29.32,38.65,38.86,3355.47,26.56,10.54,40.57,44.72,42071
"Lebanon County, PA",42075.0,1553.0,0.04,28.51,38.51,38.57,3295.83,27.55,12.2,44.73,42.9,1553.0,0.04%,28.51,38.51,38.57,3295.83,27.55,12.2,44.73,42.9,42075
"Lehigh County, PA",42077.0,3934.0,0.11,29.2,38.36,38.58,3237.03,27.83,12.75,51.54,39.6,3934.0,0.11%,29.2,38.36,38.58,3237.03,27.83,12.75,51.54,39.6,42077
"Luzerne County, PA",42079.0,3129.0,0.09,28.64,38.46,38.73,3273.88,28.02,11.68,50.81,37.54,3129.0,0.09%,28.64,38.46,38.73,3273.88,28.02,11.68,50.81,37.54,42079
"Lycoming County, PA",42081.0,1101.0,0.03,28.48,38.41,38.65,3295.95,28.31,11.0,46.16,39.17,1101.0,0.03%,28.48,38.41,38.65,3295.95,28.31,11.0,46.16,39.17,42081
"Mercer County, PA",42085.0,1007.0,0.03,28.61,38.45,38.75,3271.58,28.16,10.47,46.54,46.32,1007.0,0.03%,28.61,38.45,38.75,3271.58,28.16,10.47,46.54,46.32,42085
"Monroe County, PA",42089.0,1336.0,0.04,29.66,38.44,38.54,3281.24,28.6,13.27,50.01,43.47,1336.0,0.04%,29.66,38.44,38.54,3281.24,28.6,13.27,50.01,43.47,42089
"Montgomery County, PA",42091.0,8592.0,0.24,31.78,38.59,38.72,3301.22,26.4,11.25,46.38,38.87,8592.0,0.24%,31.78,38.59,38.72,3301.22,26.4,11.25,46.38,38.87,42091
"Northampton County, PA",42095.0,2770.0,0.08,30.19,38.48,38.6,3278.34,27.81,14.68,50.01,37.33,2770.0,0.08%,30.19,38.48,38.6,3278.34,27.81,14.68,50.01,37.33,42095
"Philadelphia County, PA",42101.0,19053.0,0.53,29.46,38.23,38.39,3155.27,27.59,10.15,52.92,38.51,19053.0,0.53%,29.46,38.23,38.39,3155.27,27.59,10.15,52.92,38.51,42101
"Schuylkill County, PA",42107.0,1164.0,0.03,28.2,38.46,38.73,3276.86,28.3,10.99,47.28,36.24,1164.0,0.03%,28.2,38.46,38.73,3276.86,28.3,10.99,47.28,36.24,42107
"Washington County, PA",42125.0,1913.0,0.05,29.79,38.42,38.57,3282.77,27.76,11.48,44.89,42.14,1913.0,0.05%,29.79,38.42,38.57,3282.77,27.76,11.48,44.89,42.14,42125
"Westmoreland County, PA",42129.0,2794.0,0.08,29.48,38.27,38.49,3240.43,28.13,12.31,45.08,42.05,2794.0,0.08%,29.48,38.27,38.49,3240.43,28.13,12.31,45.08,42.05,42129
"York County, PA",42133.0,4778.0,0.13,29.07,38.37,38.59,3277.39,28.03,11.61,48.7,37.31,4778.0,0.13%,29.07,38.37,38.59,3277.39,28.03,11.61,48.7,37.31,42133
"Unidentified Counties, PA",42999.0,14836.0,0.41,28.3,38.55,38.77,3308.4,28.26,10.84,44.2,43.99,14836.0,0.41%,28.3,38.55,38.77,3308.4,28.26,10.84,44.2,43.99,42999
"Kent County, RI",44003.0,1491.0,0.04,30.46,38.54,38.81,3325.13,27.42,12.73,49.52,45.07,1491.0,0.04%,30.46,38.54,38.81,3325.13,27.42,12.73,49.52,45.07,44003
"Providence County, RI",44007.0,6863.0,0.19,29.86,38.47,38.7,3267.21,27.72,12.24,57.71,46.37,6863.0,0.19%,29.86,38.47,38.7,3267.21,27.72,12.24,57.71,46.37,44007
"Washington County, RI",44009.0,869.0,0.02,31.67,38.64,38.81,3347.79,26.65,12.6,45.93,44.75,869.0,0.02%,31.67,38.64,38.81,3347.79,26.65,12.6,45.93,44.75,44009
"Unidentified Counties, RI",44999.0,1001.0,0.03,31.88,38.63,38.81,3307.56,26.01,12.5,50.5,39.22,1001.0,0.03%,31.88,38.63,38.81,3307.56,26.01,12.5,50.5,39.22,44999
"Aiken County, SC",45003.0,1917.0,0.05,28.33,38.32,38.47,3252.52,28.56,10.95,51.2,57.77,1917.0,0.05%,28.33,38.32,38.47,3252.52,28.56,10.95,51.2,57.77,45003
"Anderson County, SC",45007.0,2252.0,0.06,27.86,38.06,38.38,3215.05,28.94,13.06,50.59,35.14,2252.0,0.06%,27.86,38.06,38.38,3215.05,28.94,13.06,50.59,35.14,45007
"Beaufort County, SC",45013.0,1860.0,0.05,28.45,38.47,38.69,3265.2,27.33,11.26,49.17,50.21,1860.0,0.05%,28.45,38.47,38.69,3265.2,27.33,11.26,49.17,50.21,45013
"Berkeley County, SC",45015.0,2804.0,0.08,28.98,38.18,38.4,3239.97,28.33,10.81,51.91,43.66,2804.0,0.08%,28.98,38.18,38.4,3239.97,28.33,10.81,51.91,43.66,45015
"Charleston County, SC",45019.0,4906.0,0.14,30.57,38.16,38.36,3218.97,26.87,11.11,46.22,46.79,4906.0,0.14%,30.57,38.16,38.36,3218.97,26.87,11.11,46.22,46.79,45019
"Dorchester County, SC",45035.0,1904.0,0.05,29.1,38.12,38.35,3224.65,28.55,10.74,52.82,40.66,1904.0,0.05%,29.1,38.12,38.35,3224.65,28.55,10.74,52.82,40.66,45035
"Florence County, SC",45041.0,1600.0,0.04,27.85,37.87,38.08,3127.35,29.31,12.68,56.3,43.35,1600.0,0.04%,27.85,37.87,38.08,3127.35,29.31,12.68,56.3,43.35,45041
"Greenville County, SC",45045.0,6510.0,0.18,29.37,38.21,38.4,3242.83,27.58,11.48,49.09,38.48,6510.0,0.18%,29.37,38.21,38.4,3242.83,27.58,11.48,49.09,38.48,45045
"Horry County, SC",45051.0,3180.0,0.09,28.52,38.17,38.36,3256.14,28.05,12.31,53.96,54.54,3180.0,0.09%,28.52,38.17,38.36,3256.14,28.05,12.31,53.96,54.54,45051
"Lexington County, SC",45063.0,3326.0,0.09,29.09,38.13,38.19,3250.2,28.67,12.93,51.02,46.02,3326.0,0.09%,29.09,38.13,38.19,3250.2,28.67,12.93,51.02,46.02,45063
"Pickens County, SC",45077.0,1138.0,0.03,27.75,38.15,38.45,3272.7,28.85,12.09,51.52,40.31,1138.0,0.03%,27.75,38.15,38.45,3272.7,28.85,12.09,51.52,40.31,45077
"Richland County, SC",45079.0,4521.0,0.13,29.03,38.05,38.17,3157.87,28.93,13.08,54.13,47.1,4521.0,0.13%,29.03,38.05,38.17,3157.87,28.93,13.08,54.13,47.1,45079
"Spartanburg County, SC",45083.0,3834.0,0.11,28.22,38.24,38.44,3256.93,28.47,12.6,49.42,40.38,3834.0,0.11%,28.22,38.24,38.44,3256.93,28.47,12.6,49.42,40.38,45083
"Sumter County, SC",45085.0,1336.0,0.04,27.08,37.98,38.2,3125.35,29.63,11.49,52.48,44.71,1336.0,0.04%,27.08,37.98,38.2,3125.35,29.63,11.49,52.48,44.71,45085
"York County, SC",45091.0,3011.0,0.08,29.69,38.36,38.58,3263.83,27.54,12.33,52.76,53.02,3011.0,0.08%,29.69,38.36,38.58,3263.83,27.54,12.33,52.76,53.02,45091
"Unidentified Counties, SC",45999.0,12084.0,0.34,27.36,38.03,38.24,3163.38,29.6,12.01,51.8,47.86,12084.0,0.34%,27.36,38.03,38.24,3163.38,29.6,12.01,51.8,47.86,45999
"Minnehaha County, SD",46099.0,2840.0,0.08,29.34,38.46,38.44,3285.19,27.19,11.07,46.15,45.22,2840.0,0.08%,29.34,38.46,38.44,3285.19,27.19,11.07,46.15,45.22,46099
"Pennington County, SD",46103.0,1469.0,0.04,28.13,38.33,38.59,3268.04,26.97,10.57,43.66,48.49,1469.0,0.04%,28.13,38.33,38.59,3268.04,26.97,10.57,43.66,48.49,46103
"Unidentified Counties, SD",46999.0,6877.0,0.19,28.54,38.34,38.41,3309.55,27.44,9.99,42.15,45.59,6877.0,0.19%,28.54,38.34,38.41,3309.55,27.44,9.99,42.15,45.59,46999
"Blount County, TN",47009.0,1294.0,0.04,28.12,38.32,38.5,3295.39,28.08,12.28,51.47,43.43,1294.0,0.04%,28.12,38.32,38.5,3295.39,28.08,12.28,51.47,43.43,47009
"Davidson County, TN",47037.0,9835.0,0.27,29.69,38.35,38.47,3234.46,26.44,9.83,50.51,49.97,9835.0,0.27%,29.69,38.35,38.47,3234.46,26.44,9.83,50.51,49.97,47037
"Hamilton County, TN",47065.0,4471.0,0.12,28.78,38.35,38.49,3232.22,27.09,10.3,49.09,43.29,4471.0,0.12%,28.78,38.35,38.49,3232.22,27.09,10.3,49.09,43.29,47065
"Knox County, TN",47093.0,5277.0,0.15,29.09,38.35,38.4,3270.36,27.2,12.46,47.59,45.54,5277.0,0.15%,29.09,38.35,38.4,3270.36,27.2,12.46,47.59,45.54,47093
"Montgomery County, TN",47125.0,3587.0,0.1,27.29,38.3,38.54,3253.07,27.42,10.29,47.42,51.0,3587.0,0.10%,27.29,38.3,38.54,3253.07,27.42,10.29,47.42,51.0,47125
"Rutherford County, TN",47149.0,4232.0,0.12,28.91,38.1,38.32,3248.36,27.9,10.51,52.01,55.96,4232.0,0.12%,28.91,38.1,38.32,3248.36,27.9,10.51,52.01,55.96,47149
"Shelby County, TN",47157.0,12326.0,0.34,28.13,38.17,38.11,3128.51,28.02,9.26,52.26,50.97,12326.0,0.34%,28.13,38.17,38.11,3128.51,28.02,9.26,52.26,50.97,47157
